"SIDO_NM","SGG_NM","HADM_CD","ATRCTN_CNT","RSTRT_CNT","SHOPNG_CNT","RESIDNT_CNT_SUM","FILE_NAME","BASE_YMD"
"강원도","원주시","4213057500","3.00000","75.00000","15.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213059000","3.00000","940.00000","39.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213060000","3.00000","333.00000","31.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213061000","9.00000","72.00000","13.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213062000","8.00000","314.00000","25.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213063500","6.00000","165.00000","20.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213065000","16.00000","119.00000","8.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213066000","5.00000","550.00000","37.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213067500","6.00000","638.00000","33.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","인제군","4281025000","25.00000","275.00000","34.00000","31623.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","인제군","4281031000","9.00000","121.00000","10.00000","31623.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","인제군","4281032000","52.00000","343.00000","30.00000","31623.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","인제군","4281033000","17.00000","134.00000","21.00000","31623.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","인제군","4281034000","5.00000","92.00000","18.00000","31623.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","인제군","4281035000","15.00000","48.00000","10.00000","31623.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277025000","32.00000","303.00000","46.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277025300","6.00000","193.00000","26.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277025600","13.00000","223.00000","26.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277025900","15.00000","68.00000","15.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277032000","9.00000","88.00000","22.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277034000","14.00000","47.00000","11.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277035000","14.00000","80.00000","17.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277036000","23.00000","39.00000","12.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","정선군","4277037000","12.00000","51.00000","16.00000","36937.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","철원군","4278025000","4.00000","61.00000","15.00000","44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","철원군","4278025300","4.00000","41.00000","10.00000","44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","철원군","4278025600","12.00000","358.00000","43.00000","44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","철원군","4278025900","29.00000","432.00000","33.00000","44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","철원군","4278031000","7.00000","228.00000","28.00000","44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
